,label_A,label_B,pair,pair_odr,cooccurrence_count_human,label_A_count_human,label_B_count_human,Jaccard_index_human,Tversky_index_human,distance,common_parent_count,w_distance_GT,similarity_GT,jcl_category_A,dbp_category_A,jcl_category_B,dbp_category_B,similarity_DBP,w_distance_DBP,cooccurrence_count_pred,label_A_count_pred,label_B_count_pred,Jaccard_index_pred,Tversky_index_pred
10,ange,couronne,"(ange, couronne)","(ange, couronne)",440.0,3780.0,3746.0,0.06209427039232289,0.11745862253069941,100,0,3.6875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-3473,http://fr.dbpedia.org/resource/Catégorie:Couronne,3.3753e-06,0.9999966247,1922.0,15896.0,10141.0,0.07970143064482688,0.18952765999408341
11,ange,croix,"(ange, croix)","(ange, croix)",473.0,3780.0,2717.0,0.07851925630810093,0.17408906882591094,5,1,1.625,0.1875,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-8619,http://fr.dbpedia.org/resource/Catégorie:Croix,7.8049e-06,0.9999921951,3028.0,15896.0,9513.0,0.13529332916312944,0.31830127194365604
12,ange,de face,"(ange, de face)","(ange, de face)",77.0,3780.0,3889.0,0.010142255005268703,0.01979943430187709,100,0,3.625,0.0,,,,,,,200.0,15896.0,13826.0,0.006774608766343743,0.014465499783017503
13,ange,de profil,"(ange, de profil)","(ange, de profil)",56.0,3780.0,5661.0,0.0059669685668620135,0.009892245186362834,100,0,3.625,0.0,,,,,,,234.0,15896.0,18974.0,0.0067559764406975404,0.012332665753135871
14,ange,drapeau,"(ange, drapeau)","(ange, drapeau)",32.0,3780.0,1507.0,0.006089438629876308,0.021234240212342402,100,0,3.625,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-3562,http://fr.dbpedia.org/resource/Catégorie:Drapeau,7.803e-06,0.999992197,41.0,15896.0,2961.0,0.0021789965986394556,0.013846673421141506
15,ange,draperie,"(ange, draperie)","(ange, draperie)",118.0,3780.0,3225.0,0.017133730216349643,0.03658914728682171,100,0,3.71875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-3087,http://fr.dbpedia.org/resource/Catégorie:Textile,3.4093e-06,0.9999965907,1104.0,15896.0,15977.0,0.03588026910201827,0.06909933028728797
16,ange,en buste,"(ange, en buste)","(ange, en buste)",187.0,3780.0,10914.0,0.012890328806782932,0.017133956386292833,100,0,3.6875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-175,http://fr.dbpedia.org/resource/Catégorie:Buste,0.003464,0.996536,384.0,15896.0,19996.0,0.010814464346062858,0.01920384076815363
17,ange,feuille,"(ange, feuille)","(ange, feuille)",45.0,3780.0,2288.0,0.007471359787481322,0.019667832167832168,100,0,3.6875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1040,http://fr.dbpedia.org/resource/Catégorie:Feuille,4.0742e-16,0.9999999999999996,82.0,15896.0,9237.0,0.0032733224222585926,0.008877341128071885
18,ange,fleur,"(ange, fleur)","(ange, fleur)",407.0,3780.0,10443.0,0.02945859872611465,0.038973475055060804,100,0,3.625,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1051,http://fr.dbpedia.org/resource/Catégorie:Fleur,0.00043408,0.99956592,889.0,15896.0,18813.0,0.02628622117090479,0.04725455801839154
19,ange,lion,"(ange, lion)","(ange, lion)",98.0,3780.0,1534.0,0.018788343558282208,0.06388526727509779,100,0,3.74609375,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-2052,http://fr.dbpedia.org/resource/Catégorie:Panthera_leo,6.5459e-08,0.999999934541,597.0,15896.0,5023.0,0.029377029819899616,0.11885327493529763
